,season,passer_id,passer,pass,complete_pass,interception,sack,yards_gained,touchdown
78,1999,00-0013013,M.Pittman,1,1.0,0.0,0.0,26.0,0.0
79,1999,00-0013042,J.Plummer,444,201.0,24.0,27.0,1977.0,11.0
80,1999,00-0013108,D.Pope,1,0.0,0.0,0.0,0.0,0.0
81,1999,00-0013523,R.Reed,1,0.0,0.0,1.0,-11.0,0.0
82,1999,00-0013639,J.Rice,1,0.0,0.0,0.0,0.0,0.0
83,1999,00-0013712,M.Ricks,1,0.0,0.0,0.0,0.0,0.0
84,1999,00-0014115,M.Royals,2,1.0,0.0,0.0,17.0,0.0
85,1999,00-0014324,D.Sanders,1,0.0,0.0,0.0,0.0,0.0
86,1999,00-0014328,F.Sanders,1,0.0,0.0,0.0,0.0,0.0
87,1999,00-0015063,T.Small,2,0.0,0.0,0.0,0.0,0.0
88,1999,00-0015082,A.Smith,179,80.0,6.0,19.0,695.0,2.0
89,1999,00-0015242,L.Smith,1,0.0,0.0,0.0,0.0,0.0
90,1999,00-0015290,R.Smith,1,0.0,0.0,0.0,0.0,0.0
91,1999,00-0015420,J.Sowell,1,0.0,0.0,0.0,0.0,0.0
92,1999,00-0015523,D.Staley,1,0.0,0.0,1.0,-8.0,0.0
93,1999,00-0015627,S.Stenstrom,118,54.0,4.0,10.0,470.0,1.0
94,1999,00-0015700,K.Stewart,315,160.0,10.0,22.0,1333.0,8.0
95,1999,00-0016193,V.Testaverde,15,10.0,1.0,0.0,96.0,1.0
96,1999,00-0016534,B.Tolliver,315,139.0,16.0,19.0,1770.0,8.0
97,1999,00-0016538,M.Tomczak,294,139.0,8.0,15.0,1523.0,14.0
98,1999,00-0016683,T.Tupa,17,6.0,0.0,3.0,139.0,3.0
99,1999,00-0016838,A.Van Pelt,1,1.0,0.0,0.0,9.0,0.0
100,1999,00-0017121,S.Walsh,13,7.0,2.0,0.0,47.0,1.0
101,1999,00-0017200,K.Warner,640,374.0,15.0,30.0,4909.0,48.0
102,1999,00-0017218,L.Warren,1,0.0,0.0,1.0,-7.0,0.0
103,1999,00-0017915,R.Williams,1,0.0,0.0,0.0,0.0,0.0
104,1999,00-0018333,D.Wuerffel,56,22.0,3.0,5.0,159.0,2.0
105,1999,00-0018343,F.Wycheck,1,1.0,0.0,0.0,61.0,1.0
106,1999,00-0018441,S.Young,96,45.0,4.0,8.0,383.0,3.0
107,1999,00-0018483,E.Zeier,61,32.0,1.0,5.0,234.0,1.0
108,1999,00-0018518,S.Zolak,4,0.0,0.0,0.0,0.0,0.0
109,2000,00-0000098,L.Aguiar,1,1.0,0.0,0.0,13.0,0.0
110,2000,00-0000104,T.Aikman,303,156.0,14.0,13.0,1549.0,9.0
111,2000,00-0000251,M.Alstott,1,0.0,0.0,0.0,0.0,0.0
112,2000,00-0000722,T.Banks,328,150.0,8.0,20.0,1485.0,9.0
113,2000,00-0000865,C.Batch,474,221.0,15.0,41.0,2280.0,13.0
114,2000,00-0001157,M.Berger,1,0.0,1.0,0.0,0.0,0.0
115,2000,00-0001215,J.Bettis,2,0.0,1.0,0.0,0.0,0.0
116,2000,00-0001218,S.Beuerlein,653,324.0,18.0,62.0,3482.0,21.0
117,2000,00-0001272,M.Bishop,9,3.0,1.0,0.0,80.0,1.0
118,2000,00-0001335,J.Blake,359,184.0,9.0,24.0,1958.0,14.0
119,2000,00-0001361,D.Bledsoe,618,312.0,13.0,45.0,3090.0,19.0
120,2000,00-0001785,B.Brister,22,10.0,1.0,1.0,76.0,0.0
121,2000,00-0001823,A.Brooks,318,159.0,9.0,19.0,2043.0,15.0
122,2000,00-0001907,D.Brown,85,40.0,3.0,10.0,414.0,3.0
123,2000,00-0002110,M.Brunell,615,311.0,14.0,54.0,3524.0,21.0
124,2000,00-0002787,S.Case,116,56.0,4.0,12.0,504.0,3.0
125,2000,00-0002873,R.Chancey,1,0.0,0.0,0.0,0.0,0.0
126,2000,00-0002876,C.Chandler,410,192.0,12.0,40.0,2020.0,11.0
127,2000,00-0003292,K.Collins,700,366.0,19.0,33.0,4034.0,28.0
128,2000,00-0003535,T.Couch,238,138.0,9.0,10.0,1428.0,9.0
129,2000,00-0003739,D.Culpepper,643,327.0,19.0,38.0,4526.0,39.0
130,2000,00-0003761,R.Cunningham,153,74.0,4.0,8.0,880.0,6.0
131,2000,00-0004229,K.Detmer,1,0.0,1.0,0.0,0.0,0.0
132,2000,00-0004293,T.Dilfer,357,169.0,12.0,33.0,1944.0,16.0
133,2000,00-0005106,B.Favre,656,338.0,16.0,33.0,3594.0,21.0
134,2000,00-0005113,J.Feagles,1,0.0,0.0,0.0,0.0,0.0
135,2000,00-0005180,J.Fiedler,467,227.0,19.0,26.0,2588.0,16.0
136,2000,00-0005363,D.Flutie,260,129.0,2.0,9.0,1690.0,8.0
137,2000,00-0005589,G.Frerotte,294,151.0,9.0,16.0,1804.0,11.0
138,2000,00-0005600,J.Friesz,27,11.0,1.0,3.0,50.0,0.0
139,2000,00-0005741,R.Gannon,622,307.0,13.0,35.0,3822.0,30.0
140,2000,00-0005755,J.Garcia,624,355.0,10.0,24.0,4188.0,33.0
141,2000,00-0005794,J.Garrett,2,1.0,0.0,1.0,-1.0,0.0
142,2000,00-0005885,J.George,231,113.0,6.0,12.0,1319.0,7.0
143,2000,00-0006212,K.Graham,173,66.0,1.0,13.0,813.0,2.0
144,2000,00-0006300,E.Grbac,582,306.0,13.0,27.0,3755.0,26.0
145,2000,00-0006305,A.Green,1,0.0,0.0,0.0,0.0,0.0
146,2000,00-0006355,T.Green,281,145.0,5.0,24.0,1976.0,17.0
147,2000,00-0006410,C.Greisen,14,6.0,0.0,3.0,42.0,1.0
148,2000,00-0006423,B.Griese,381,216.0,4.0,17.0,2597.0,19.0
149,2000,00-0006808,J.Harbaugh,231,123.0,10.0,14.0,1337.0,8.0
150,2000,00-0007059,M.Hartsell,1,0.0,0.0,0.0,0.0,0.0
151,2000,00-0007091,M.Hasselbeck,22,10.0,0.0,1.0,102.0,1.0
152,2000,00-0007832,B.Hoying,22,8.0,2.0,0.0,120.0,0.0
153,2000,00-0007834,B.Huard,107,49.0,2.0,13.0,489.0,3.0
154,2000,00-0007835,D.Huard,69,39.0,3.0,4.0,296.0,1.0
155,2000,00-0008442,B.Johnson,398,228.0,15.0,20.0,2370.0,12.0
156,2000,00-0008560,K.Johnson,3,1.0,1.0,0.0,23.0,0.0
157,2000,00-0008566,L.Johnson,1,1.0,0.0,0.0,18.0,0.0
158,2000,00-0008612,R.Johnson,372,164.0,7.0,44.0,1872.0,14.0
159,2000,00-0009007,D.Kanell,133,57.0,5.0,8.0,464.0,2.0
160,2000,00-0009266,S.King,553,250.0,13.0,41.0,2867.0,19.0
161,2000,00-0009311,J.Kitna,479,259.0,19.0,33.0,2544.0,21.0
162,2000,00-0009715,R.Leaf,357,155.0,17.0,30.0,1688.0,14.0
163,2000,00-0009868,J.Lewis,43,16.0,1.0,7.0,69.0,2.0
164,2000,00-0009869,J.Lewis,1,1.0,0.0,0.0,3.0,0.0
165,2000,00-0010137,R.Lucas,51,21.0,4.0,6.0,189.0,0.0
166,2000,00-0010174,K.Lyle,1,0.0,0.0,0.0,2.0,0.0
167,2000,00-0010346,P.Manning,670,374.0,15.0,20.0,4509.0,35.0
168,2000,00-0010442,C.Martin,1,1.0,0.0,0.0,18.0,1.0
169,2000,00-0010455,J.Martin,33,22.0,1.0,0.0,307.0,2.0
170,2000,00-0010560,S.Matthews,189,102.0,6.0,5.0,945.0,5.0
171,2000,00-0011022,D.McNabb,790,374.0,15.0,53.0,3919.0,29.0
172,2000,00-0011024,S.McNair,512,272.0,14.0,25.0,3126.0,19.0
173,2000,00-0011044,C.McNown,331,154.0,9.0,27.0,1561.0,10.0
174,2000,00-0011276,J.Miller,86,47.0,1.0,2.0,377.0,1.0
175,2000,00-0011378,R.Mirer,23,10.0,0.0,1.0,122.0,1.0
176,2000,00-0011399,B.Mitchell,4,1.0,0.0,0.0,21.0,0.0
177,2000,00-0011434,S.Mitchell,221,89.0,8.0,16.0,920.0,4.0
178,2000,00-0011463,C.Mohr,1,1.0,0.0,0.0,44.0,0.0
179,2000,00-0011524,W.Moon,41,15.0,1.0,5.0,164.0,1.0
180,2000,00-0011640,M.Moreno,36,16.0,2.0,3.0,105.0,0.0
181,2000,00-0012261,N.O'Donnell,70,37.0,3.0,3.0,526.0,2.0
182,2000,00-0012726,D.Pederson,237,117.0,8.0,17.0,935.0,2.0
183,2000,00-0013042,J.Plummer,535,270.0,21.0,22.0,2928.0,14.0
184,2000,00-0013639,J.Rice,1,0.0,0.0,0.0,0.0,0.0
185,2000,00-0014115,M.Royals,1,1.0,0.0,0.0,36.0,0.0
186,2000,00-0015063,T.Small,1,0.0,1.0,0.0,0.0,0.0
187,2000,00-0015082,A.Smith,325,118.0,6.0,36.0,1172.0,4.0
188,2000,00-0015242,L.Smith,1,0.0,0.0,0.0,0.0,0.0
189,2000,00-0015700,K.Stewart,366,151.0,8.0,30.0,1937.0,13.0
190,2000,00-0016193,V.Testaverde,649,328.0,25.0,13.0,3696.0,25.0
191,2000,00-0016331,T.Thomas,1,0.0,0.0,1.0,-2.0,0.0
192,2000,00-0016838,A.Van Pelt,8,4.0,0.0,0.0,67.0,0.0
193,2000,00-0017127,K.Walter,1,0.0,0.0,0.0,0.0,0.0
194,2000,00-0017200,K.Warner,431,259.0,21.0,22.0,3676.0,29.0
195,2000,00-0017915,R.Williams,1,1.0,0.0,0.0,34.0,0.0
196,2000,00-0018272,A.Wright,77,22.0,3.0,12.0,177.0,2.0
197,2000,00-0018343,F.Wycheck,2,2.0,0.0,0.0,53.0,1.0
198,2000,00-0018483,E.Zeier,5,3.0,0.0,0.0,19.0,0.0
199,2000,00-0019087,D.Johnson,88,36.0,3.0,13.0,331.0,4.0
200,2000,00-0019192,T.Brown,1,0.0,0.0,0.0,0.0,0.0
201,2000,00-0019278,K.Thompson,1,1.0,0.0,0.0,8.0,0.0
202,2000,00-0019442,C.Stoerner,8,3.0,0.0,2.0,32.0,1.0
203,2000,00-0019553,S.Wynn,72,22.0,1.0,13.0,78.0,0.0
204,2000,00-0019559,C.Pennington,7,2.0,0.0,1.0,63.0,1.0
205,2000,00-0019579,J.Hamilton,1,0.0,0.0,1.0,-1.0,0.0
206,2000,00-0019596,T.Brady,4,1.0,0.0,0.0,6.0,0.0
207,2000,00-0019622,T.Husak,2,2.0,0.0,0.0,-2.0,0.0
208,2000,00-0019623,T.Rattay,1,1.0,0.0,0.0,-4.0,0.0
209,2000,00-0019682,J.Jackson,13,5.0,0.0,2.0,40.0,0.0
210,2000,00-0019709,C.Redman,3,2.0,0.0,0.0,19.0,0.0
211,2000,00-0019726,S.Morris,1,1.0,0.0,0.0,31.0,0.0
212,2001,00-0000722,T.Banks,438,198.0,10.0,29.0,2337.0,12.0
213,2001,00-0000865,C.Batch,401,198.0,12.0,33.0,2233.0,13.0
214,2001,00-0001157,M.Berger,1,0.0,0.0,0.0,0.0,0.0
215,2001,00-0001215,J.Bettis,2,1.0,0.0,0.0,32.0,1.0
216,2001,00-0001335,J.Blake,1,0.0,0.0,0.0,0.0,0.0
217,2001,00-0001361,D.Bledsoe,98,50.0,2.0,7.0,478.0,3.0
218,2001,00-0001477,M.Booker,2,1.0,0.0,0.0,34.0,1.0
219,2001,00-0001545,T.Bouman,101,51.0,4.0,4.0,813.0,9.0
220,2001,00-0001823,A.Brooks,660,312.0,22.0,50.0,3749.0,27.0
221,2001,00-0002110,M.Brunell,569,289.0,13.0,57.0,3091.0,21.0
222,2001,00-0002876,C.Chandler,440,223.0,14.0,41.0,2650.0,19.0
223,2001,00-0003292,K.Collins,643,327.0,16.0,36.0,3605.0,22.0
224,2001,00-0003315,T.Collins,5,3.0,0.0,0.0,47.0,0.0
225,2001,00-0003535,T.Couch,531,272.0,21.0,51.0,2709.0,20.0
226,2001,00-0003600,D.Craig,12,4.0,0.0,2.0,39.0,0.0
227,2001,00-0003739,D.Culpepper,456,235.0,13.0,33.0,2644.0,17.0
228,2001,00-0003761,R.Cunningham,111,54.0,2.0,12.0,509.0,3.0
229,2001,00-0004229,K.Detmer,16,5.0,1.0,1.0,56.0,0.0
230,2001,00-0004230,T.Detmer,178,92.0,10.0,12.0,855.0,5.0
231,2001,00-0004293,T.Dilfer,148,73.0,4.0,10.0,965.0,7.0
232,2001,00-0004294,K.Dilger,1,1.0,0.0,0.0,39.0,1.0
233,2001,00-0004304,C.Dillon,1,0.0,1.0,0.0,0.0,0.0
234,2001,00-0005091,K.Faulk,2,1.0,0.0,1.0,19.0,0.0
235,2001,00-0005092,M.Faulk,1,0.0,0.0,0.0,0.0,0.0
236,2001,00-0005106,B.Favre,652,362.0,22.0,25.0,4335.0,44.0
